Value,Type,Year,Field,FieldOrder1,FieldOrder2,Fieldkm,Field2km,Field3km,Variety,Variety2,,Transect distance conversions,,,,
25.95520422,inc,1,1,1,1,1.301775148,1.694618536,2.206012295,Eb,Ka,90,4.4,4.4,90,,1.301775148
19.89459816,inc,1,2,2,4,1.147928994,1.317740975,1.512673072,Eb,Ka,,,3.88,79.36363636,,1.147928994
13.43873518,inc,1,3,3,9,1,1,1,Eb,Se,,,3.38,69.13636364,,1
11.98945982,inc,1,4,4,16,0.855029586,0.731075593,0.625091261,Eb,Ba,,,2.89,59.11363636,,0.855029586
40.71146245,inc,1,5,5,25,0.695266272,0.483395189,0.336088371,Eb,Bu,,,2.35,48.06818182,,0.695266272
64.82213439,inc,1,6,6,36,0.565088757,0.319325304,0.180447139,Eb,Bu,,,1.91,39.06818182,,0.565088757
50.32938076,inc,1,7,7,49,0.411242604,0.169120479,0.069549546,Eb,Ba,,,1.39,28.43181818,,0.411242604
78.52437418,inc,1,8,8,64,0.204142012,0.041673961,0.008507406,Eb,Ba,,,0.69,14.11363636,,0.204142012
78.65612648,inc,1,9,9,81,0.139053254,0.019335808,0.002688707,Eb,Al,,,0.47,9.613636364,,0.139053254
96.83794466,inc,1,10,10,100,0,0,0,Eb,Al,,,0,0,,0
0.165424739,adult,1,1,1,1,1.301775148,1.694618536,2.206012295,Eb,Ka,,,,,,
0.134128167,adult,1,2,2,4,1.147928994,1.317740975,1.512673072,Eb,Ka,,,,,,
0.165424739,adult,1,3,3,9,1,1,1,Eb,Se,,,,,,
0.165424739,adult,1,4,4,16,0.855029586,0.731075593,0.625091261,Eb,Ba,,,,,,
0.827123696,adult,1,5,5,25,0.695266272,0.483395189,0.336088371,Eb,Bu,,,,,,
0.56780924,adult,1,6,6,36,0.565088757,0.319325304,0.180447139,Eb,Bu,,,,,,
0.397913562,adult,1,7,7,49,0.411242604,0.169120479,0.069549546,Eb,Ba,,,,,,
0.496274218,adult,1,8,8,64,0.204142012,0.041673961,0.008507406,Eb,Ba,,,,,,
0.093889717,adult,1,9,9,81,0.139053254,0.019335808,0.002688707,Eb,Al,,,,,,
0.40685544,adult,1,10,10,100,0,0,0,Eb,Al,,,,,,
22.00263505,inc,2,1,1,1,1.301775148,1.694618536,2.206012295,Eb,Ka,,,,,,
